,Date,Rating,Title
0, 3.3.2020,"2,1",DER FALL RICHARD JEWELL
1, 17.2.2020,"2,1",THE GENTLEMEN
2, 3.2.2020,"1,5",JUST MERCY
3, 20.1.2020,"1,8",BOMBSHELL
4, 6.1.2020,"1,9",QUEEN & SLIM
5, 16.12.2019,"2,5",JUDY
6, 2.12.2019,"2,2",THE KINDNESS OF STRANGERS
7, 18.11.2019,"1,8",OFFICIAL SECRETS
8, 4.11.2019,"2,3",BOOKSMART
9, 21.10.2019,"2,3",BERNADETTE
10, 7.10.2019,"1,9",JOKER
11, 16.9.2019,",92",DER DISTELFINK – Die Geschichte eines gestohlenen Lebens
12, 02.9.2019,"2,6",DER HONIGGARTEN – Das Geheimnis der Bienen
13, 19.8.2019,-,BLINDED BY THE LIGHT
14, 05.8.2019,"2,8",DIE AGENTIN
15, 22.07.2019,"2,0",FISHERMAN’S FRIENDS
16, 08.07.2019,"2,0",YESTERDAY
17, 10.06.2019,"2,2",GEHEIMNIS EINES LEBENS
18, 10.06.2019,"2,5",DREI SCHRITTE ZU DIR
19, 27.05.2019,"1,9",TOLKIEN
20, 13.05.2019,"2,1",ROADS
21, 29.04.2019,"2,6",STAN & OLLIE
22, 15.04.2019,"3,1",Sneak-Extreme: THE HOLE IN THE GROUND
23, 01.04.2019,"2,8",THE AFTERMATH – Niemandsland
24, 18.03.2019,"2,8",WILLKOMMEN IN MARWEN
25, 04.03.2019,"2,8",THE SISTERS BROTHERS
26, 18.02.2019,"2,9",BEALE STREET
27, 04.02.2019,"2,6",CAN YOU EVER FORGIVE ME?
28, 21.01.2019,"1,9",BEAUTIFUL BOY
29, 07.01.2019,"1,3",GREEN BOOK
30, 10.12.2018,"2,4",THE WIFE
31, 26.11.2018,"3,4",UNDER THE SILVER LAKE
32, 13.11.2018,"4,6",SUSPIRIA
33, 15.10.2018,"2,3",A LITTLE FAVOR
34, 1.10.2018,"2,4","JULIET, NAKED"
35, 17.9.2018,-,THE MAN WHO KILLED DON QUIXOTE
36, 3.9.2018,"3,3",BOOK CLUB
37, 20.8.2018,"1,5",BLACKKKLANSMAN
38, 6.8.2018,"2,6",KINDESWOHL
39, 23.7.2018,"2,1",DEINE JULIET
40, 9.7.2018,"2,8",HOTEL ARTEMIS
41, 18.6.2018,"3,0",AM STRAND – ON CHESIL BEACH
42, 4.6.2018,"2,1",SWIMMING WITH MEN
43, 28.5.2018,"2,2",FEINDE – HOSTILES
44, 7.5.2018,"2,1","LOVE, SIMON"
45, 23.4.2018,,ELEANOR & COLETTE
46, 9.4.2018,"1,9",LADY BIRD
47, 19.3.2018,"3,1",IM ZWEIFEL GLÜCKLICH
48, 5.3.2018,"2,9",THE DEATH OF STALIN
49, 19.2.2018,-,DIE VERLEGERIN
50, 5.2.2018,"2,1",SHAPE OF WATER
51, 22.1.2018,"2,1",THE DISASTER ARTIST
52, 8.1.2018,"1,7","THREE BILLBOARDS OUTSIDE EBBING, MISSOURI"
53, 18.12.2017,"1,6",WONDER
54, 4.12.2017,"3,5",THE KILLING OF A SACRED DEER
55, 20.11.2017,"2,1",WIND RIVER
56, 6.11.2017,"3,1",SUBURBICON
57, 23.10.2017,"1,9",THE BIG SICK
58, 9.10.2017,"2,6",THE SECRET MAN
